MINUTES,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
0,9062,9260,9204,10171,10848,11420,9195,9158,8762,8007,8375,9067,9672,9504,9489,9335,9207,9216,8528,8978,10026,9321,9334,9252
15,8772,8948,8980,9918,10680,11080,9006,8906,8439,7774,8109,8813,9325,9246,9189,9043,8967,9029,8301,8748,9710,9114,9044,9027
30,8766,8870,8828,9837,10558,11120,8869,8772,8405,7573,7990,8727,9308,9211,9179,8981,8936,8872,8276,8726,9715,8909,8893,8937
45,8779,8928,8877,10058,10729,11165,8802,8704,8364,7589,8000,8682,9282,9229,9134,9028,8906,8818,8254,8735,9758,8912,8876,8892
60,8701,8871,8796,10083,10844,11413,8832,8729,8452,7620,7947,8655,9238,9141,9230,8958,8879,8851,8361,8860,9788,8822,8829,8872
75,8698,8867,8814,10296,11060,11703,9042,8912,8573,7570,7939,8636,9289,9142,9239,9016,8867,8851,8553,9000,10058,8857,8881,8869
90,8792,8934,8855,10716,11638,12414,9206,9154,8768,7666,8004,8667,9362,9225,9241,9010,8905,8804,8836,9406,10410,8972,9006,8968
105,8790,8920,8828,11048,12078,13017,9612,9374,8958,7640,7998,8636,9390,9277,9356,8960,8871,8802,9213,9885,10965,9069,9031,8994
120,8721,8940,8874,11513,12719,13830,9895,9754,9237,7639,7930,8678,9500,9422,9390,9056,8886,8826,9696,10335,11456,9085,9169,9068
135,8809,8886,8846,12150,13450,14871,10436,10329,9692,7566,7971,8658,9628,9445,9544,8996,8866,8850,10246,11172,12386,9226,9305,9237
150,8770,8905,8883,12900,14467,16188,11136,11151,10264,7595,7962,8686,9834,9666,9703,9015,8884,8867,11397,12544,13800,9466,9434,9520
165,8730,8934,8839,14130,16020,18564,12301,12298,11227,7560,7990,8696,10088,9842,9982,9020,8970,8923,13068,14672,15747,9757,9838,9752
180,8733,8882,8889,16198,18756,21670,13848,13847,12541,7619,7951,8690,10332,10230,10363,9008,8965,8887,15589,17167,18465,10130,10173,10186
195,8768,8889,8886,19098,22135,25609,15685,15606,13986,7597,7985,8698,10680,10376,10532,9068,8888,8946,18477,20480,21971,10310,10117,10102
210,8768,8883,8917,22902,26483,30832,17635,17470,15960,7657,7970,8690,10571,10416,10502,9086,9004,8941,22198,24362,26259,10324,10354,10389
225,8732,8918,8950,28102,32828,38074,20338,20322,18124,7688,8063,8713,10788,10540,10695,9054,9034,8950,26277,29137,30520,10506,10536,10484
240,8772,8821,8912,34981,40074,46125,24174,24106,21416,7654,8066,8681,10928,10551,10919,9111,9080,8985,32272,35652,36502,10678,10818,10706
255,8767,8882,9051,42558,48712,57183,28047,28123,25193,7782,8099,8806,11283,10737,11238,9145,9154,8972,40484,43859,44197,10856,10995,10966
270,8729,8855,9015,52984,58820,70211,32074,31934,28874,7775,8113,8882,11450,10938,11230,9196,9218,9036,48990,52509,52704,11173,11344,11384
285,8745,8990,9122,66863,71478,86108,36605,36672,33348,7800,8145,8793,11647,11086,11544,9229,9110,9066,57325,61768,60524,11445,11516,11496
300,8720,8899,9210,81206,84039,102522,42042,41745,37714,7893,8211,8935,11916,11252,11768,9322,9183,9176,69675,75560,68326,11784,11820,11901
315,8765,9039,9215,97437,94908,122004,47716,47216,43994,7929,8203,8940,12161,11504,12090,9414,9295,9364,83353,88970,74477,12088,12124,12230
330,8774,8962,9272,116710,102712,143904,53272,52199,49195,7950,8225,8922,12299,11676,12309,9400,9296,9320,96746,99896,80657,12162,12316,12434
345,8842,8903,9352,139096,108945,164869,58591,57632,55216,8012,8254,8975,12513,11778,12484,9443,9301,9341,108768,110742,87552,12383,12530,12724
360,8728,8926,9380,160480,113078,185876,63892,62596,59274,8031,8316,8932,12669,11857,12625,9536,9379,9462,123791,125178,96504,12715,12841,12931
375,8836,8963,9526,181466,115342,207276,69934,68768,65746,8163,8344,8969,12908,12098,12866,9568,9445,9494,136328,136785,103885,12957,13012,13110
390,8690,8964,9611,203266,116319,229903,75770,73610,72000,8131,8417,9010,12965,12162,12987,9694,9421,9520,149573,150132,107952,13192,13276,13215
405,8790,9014,9633,224554,118681,248292,80853,77539,77209,8240,8468,8975,13200,12289,13210,9830,9560,9722,166247,163178,115492,13420,13463,13504
420,8704,8991,9599,245493,119920,260000,85516,82173,83244,8306,8504,9011,13307,12467,13476,9918,9521,9713,173351,171326,121031,13608,13710,13676
435,8808,9022,9746,259867,121996,260000,91034,86429,88418,8390,8508,9083,13570,12510,13660,10094,9591,9848,182833,182004,127334,13773,13956,13887
450,8751,8961,9764,260000,123840,260000,93664,89954,90603,8499,8665,9066,13786,12628,13786,10394,9579,9832,193436,192816,130885,14102,14123,14199
465,8825,8939,9833,260000,126257,260000,99143,94182,96130,8627,8856,9123,13862,12686,14039,10685,9647,9816,200511,200296,134551,14191,14196,14292
480,8808,9019,9910,260000,128834,260000,103848,97793,99779,8890,9019,9104,14188,12852,14130,11282,9655,9939,209059,209261,138101,14484,14500,14569
495,8812,9031,9983,260000,131398,260000,105727,100050,103987,9108,9314,9173,14298,12999,14331,12228,9716,10063,214453,214580,143059,14682,14744,14760
510,8921,9074,9988,260000,133801,260000,107338,101932,103959,9484,9690,9174,14471,13095,14518,13753,9758,10030,219127,218958,146521,14834,14942,14924
525,9019,9070,10100,260000,137047,260000,109151,102944,104656,10221,10452,9190,14580,13255,14733,16421,9868,10185,225798,224230,150746,14999,15057,15257
540,9122,9141,10074,260000,139713,260000,109352,103936,105594,11319,11605,9307,14748,13381,14922,19874,9870,10097,223750,225605,154432,15246,15254,15344
555,9260,9136,10116,260000,142096,260000,109920,104106,103748,13035,13310,9299,14849,13424,14966,25058,9856,10132,228908,227718,156697,15244,15338,15344
570,9414,9076,10143,260000,145353,260000,109812,104603,104478,15557,15967,9344,14932,13448,15064,31528,9864,10129,228107,227843,160387,15386,15295,15479
585,9632,9077,10116,260000,148496,260000,110631,105780,104338,18562,19376,9284,15092,13660,15346,39336,9927,10205,228235,230203,163054,15605,15561,15546
600,9698,9085,10100,260000,152194,260000,110330,105638,104417,22206,23906,9373,15117,13691,15337,48377,9943,10285,230959,231311,165302,15650,15681,15744
615,9882,9062,10122,260000,156214,260000,111418,106076,106440,26512,29250,9288,15249,13814,15439,59542,9947,10318,231178,230282,169131,15588,15690,15789
630,10319,9088,10190,260000,159642,260000,111978,106598,105162,31802,36236,9360,15393,13916,15507,73681,9939,10416,230103,232808,172424,15686,15756,15797
645,9968,9067,10082,260000,163343,260000,111702,107630,105198,37932,45660,9373,15487,13977,15736,90614,9977,10717,231514,233124,174983,15918,15692,15894
660,10169,9071,10156,260000,167089,260000,112107,107416,105322,43170,58220,9344,15509,13979,15918,109185,10072,10836,233157,231973,176594,15897,15694,15937
675,10277,9055,10161,260000,172151,260000,112285,108035,105198,47884,67524,9396,15615,14127,16071,124301,10101,11068,232548,233945,178255,16084,15828,16062
690,10240,9080,10190,260000,175946,260000,112869,108456,106448,52236,78714,9444,15730,14152,16098,141950,10192,11541,234607,235685,181396,16097,15954,16257
705,10464,9147,10286,260000,181391,260000,112928,108596,105958,55474,91672,9379,15914,14375,16307,158473,10236,11795,233998,234158,182437,16180,16033,16166
720,10493,9062,10173,260000,187109,260000,113395,109252,106381,60010,110891,9451,16037,14231,16524,175513,10367,11782,234964,234094,185396,16416,16099,16245
735,10748,9067,10282,260000,192198,260000,114628,110104,107340,63134,131733,9482,15992,14405,16552,195153,10356,11816,237511,236862,187448,16532,16220,16345
750,10820,9076,10374,260000,198102,260000,114808,110239,107670,65684,151892,9564,16027,14523,16811,214983,10512,12064,239643,238230,190405,16639,16194,16513
765,10910,9180,10302,260000,203512,260000,114604,110161,106984,67391,176516,9537,16096,14456,16972,235837,10520,12228,238707,235553,191370,16606,16330,16600
780,10952,9094,10248,260000,208413,260000,115217,110635,107553,68188,192702,9466,16265,14619,17092,259631,10548,12470,244028,235906,192939,16626,16314,16466
795,11045,9106,10378,260000,216362,260000,115618,111218,107500,69638,213524,9523,16203,14700,17153,260000,10687,12706,244117,238832,195162,16611,16388,16672
810,11209,9196,10274,260000,220632,260000,115663,110906,107688,71221,231446,9524,16309,14761,17431,260000,10729,12742,244342,237553,195949,16669,16375,16711
825,11195,9092,10434,260000,227542,260000,116031,111950,108158,73083,251362,9698,16164,14778,17415,260000,10802,13015,245022,239116,198445,16626,16438,16662
840,11292,9108,10385,260000,232748,260000,116714,111521,107849,74130,259855,9653,16478,14791,17785,260000,10844,13123,245675,240066,199340,16738,16503,16736
855,11383,9118,10325,260000,239340,260000,116358,111904,107845,75046,260000,9583,16322,14895,17500,260000,10832,13334,245911,238187,200912,16864,16540,16704
870,11368,9179,10358,260000,244830,260000,116850,111899,108007,75667,260000,9648,16175,14786,17488,260000,10950,13319,242493,239181,200862,16713,16535,16702
885,11494,9154,10524,260000,252212,260000,117544,112563,108759,77206,260000,9758,16526,15044,17705,260000,10950,13592,242437,239641,201526,16713,16621,16798
900,11561,9110,10374,260000,257180,260000,117016,113853,108338,77978,260000,9752,16442,15130,18005,260000,10976,13806,245885,240621,204445,16893,16605,16949
915,11630,9165,10444,260000,259334,260000,117930,114732,108954,78842,260000,9710,16535,15144,17915,260000,11004,13854,243010,241366,204701,17002,16705,16926
930,11694,9148,10378,260000,260000,260000,117938,113999,108932,79976,260000,9708,16611,15255,18045,260000,11117,14061,244998,241046,206712,17003,16653,16809
945,11826,9176,10586,260000,260000,260000,119017,114511,109834,80844,260000,9789,16734,15260,18086,260000,11231,14118,249029,242018,207812,17203,16876,17108
960,11981,9187,10465,260000,260000,260000,119222,114854,109710,81688,260000,9790,16778,15397,18076,260000,11228,14260,248356,241296,208987,17168,16927,17079
975,12020,9203,10420,260000,260000,260000,119274,114878,108920,82502,260000,9846,16685,15382,18270,260000,11196,14234,245947,241451,209720,17191,16918,17007
990,12010,9183,10404,260000,260000,260000,119746,114825,109072,83211,260000,9766,16770,15402,18238,260000,11276,14504,248069,243496,210617,17258,16844,16966
1005,12142,9196,10534,260000,260000,260000,120221,115477,109339,83750,260000,9852,16704,15498,18258,260000,11257,14552,248533,244386,212052,17076,16918,17083
1020,12183,9112,10466,260000,260000,260000,119416,118364,110206,83846,260000,9845,17014,15615,18429,260000,11346,14657,250092,245645,212791,17378,17129,17096
1035,12276,9234,10485,260000,260000,260000,121574,119199,109986,85751,260000,9818,16771,15606,18410,260000,11394,14828,249440,242964,214034,17256,16969,17346
1050,12315,9134,10560,260000,260000,260000,119127,118698,110094,86061,260000,9787,17045,15694,18410,260000,11361,14804,248479,243421,215303,17431,16989,17215
1065,12394,9232,10506,260000,260000,260000,119482,119504,111298,86932,260000,9902,17018,15761,18450,260000,11318,14974,249904,246387,216865,17411,16946,17191
1080,12446,9164,10420,260000,260000,260000,125606,119413,110698,87535,260000,9943,16998,15734,18545,260000,11281,15124,248555,245244,217351,17381,17098,17250
1095,12397,9167,10524,260000,260000,260000,120152,118869,112012,88373,260000,9859,17040,15904,18742,260000,11355,15122,250799,242630,218064,17400,17065,17362
1110,12556,9171,10519,260000,260000,260000,130221,119433,110787,89558,260000,9851,17167,15864,18477,260000,11386,15309,252409,244699,220356,17463,17132,17446
1125,12569,9188,10446,260000,260000,260000,127487,114490,111376,90439,260000,9796,17076,15980,18562,260000,11495,15420,251758,245482,220728,17512,17172,17346
1140,12613,9178,10437,260000,260000,260000,127767,114621,111182,90540,260000,9942,17079,15964,18534,260000,11427,15488,253389,247709,220968,17570,17072,17474
1155,12773,9154,10582,260000,260000,260000,130640,115033,111514,92136,260000,9852,17227,16092,18943,260000,11442,15452,254606,246680,224598,17688,17291,17465
1170,12726,9170,10484,260000,260000,260000,131121,114842,114642,93290,260000,10073,17121,16305,18846,260000,11507,15591,249214,245450,226459,17729,17236,17438
1185,12749,9210,10571,260000,260000,260000,127680,115222,114705,93832,260000,10003,17052,16271,18808,260000,11448,15647,252274,260000,226383,17724,17243,17441
1200,12863,9196,10530,260000,260000,260000,131174,114484,116048,94589,260000,9909,17233,16308,18487,260000,11460,15598,255853,254107,227269,17624,17282,17535